mag,mag_error,time,filename
1.955537978507854,0.004274350196299895,2021-07-11T00:24:29.468,./data/recent/tfn0m410-kb98-20210710-0186-e91.fits.fz
1.9092551068477395,0.013254525538247684,2021-07-10T07:00:20.911,./data/recent/elp0m411-kb92-20210709-0146-e91.fits.fz
2.0057186340159365,0.0291743433691767,2021-07-10T00:17:57.550,./data/recent/tfn0m410-kb98-20210709-0151-e91.fits.fz
1.9152439829067092,0.003131171407835799,2021-07-15T07:05:37.127,./data/recent/elp0m411-kb92-20210714-0144-e91.fits.fz
1.8658733296271315,0.0016252564603974414,2021-07-15T14:00:18.049,./data/recent/ogg0m406-kb27-20210714-0193-e91.fits.fz
1.8503440571155672,0.0016390972085622688,2021-07-11T07:31:58.215,./data/recent/ogg0m406-kb27-20210710-0088-e91.fits.fz
1.9331335252439725,0.003405188373779465,2021-07-15T10:00:18.828,./data/recent/elp0m411-kb92-20210714-0189-e91.fits.fz
1.8942516735942831,0.003172743990204212,2021-07-15T04:00:14.621,./data/recent/elp0m411-kb92-20210714-0066-e91.fits.fz
1.8500945470224277,0.0016530123516416057,2021-07-13T07:24:05.934,./data/recent/ogg0m406-kb27-20210712-0086-e91.fits.fz
1.7326451361359982,0.001523026768839657,2021-07-14T07:20:26.320,./data/recent/ogg0m404-kb82-20210713-0120-e91.fits.fz
